STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,ind_type,Individual type,indic_is,Information society indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2014,,20.94
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2015,,23.08
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2016,,21.96
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2017,,26.74
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2018,,28.36
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2019,,30.96
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2020,,35.45
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_CC,"Used internet storage space when sharing documents, pictures or other files electronically",DE,Germany,2014,,13.11
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_EM,"Used e-mails with attached files when sharing documents, pictures or other files electronically",DE,Germany,2014,,40.9
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_OTH,"Used other means not using internet when sharing documents, pictures or other files electronically",DE,Germany,2014,,22.84
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_PWS,"Used personal websites or social networking sites when sharing documents, pictures or other files electronically",DE,Germany,2014,,21.51
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_CCS,"Internet storage space use: to save or share documents, pictures, music, video or other files",DE,Germany,2014,,20.94
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_EBO,Internet storage space use: to save or share e-books or e-magazines,DE,Germany,2014,,1.79
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MUS,Internet storage space use: to save or share music,DE,Germany,2014,,4.81
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MV,Internet storage space use: to save or share music and videos,DE,Germany,2014,,1.83
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OFF,"Internet storage space use: to save or share texts, spreadsheets or electronic presentations",DE,Germany,2014,,9.81
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OTH,Internet storage space use: to save or share other things,DE,Germany,2014,,2.72
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_PHO,Internet storage space use: to save or share photos,DE,Germany,2014,,17.56
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_VID,"Internet storage space use: to save or share videos including films, TV programmes",DE,Germany,2014,,3.54
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2014,,27.74
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2015,,35.04
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2016,,36.47
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2017,,41.7
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2018,,40.15
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2019,,49.56
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",IE,Ireland,2020,,45.31
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_CC,"Used internet storage space when sharing documents, pictures or other files electronically",IE,Ireland,2014,,19.51
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_EM,"Used e-mails with attached files when sharing documents, pictures or other files electronically",IE,Ireland,2014,,43.31
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_OTH,"Used other means not using internet when sharing documents, pictures or other files electronically",IE,Ireland,2014,,22.28
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_PWS,"Used personal websites or social networking sites when sharing documents, pictures or other files electronically",IE,Ireland,2014,,32.62
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_CCS,"Internet storage space use: to save or share documents, pictures, music, video or other files",IE,Ireland,2014,,27.74
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_EBO,Internet storage space use: to save or share e-books or e-magazines,IE,Ireland,2014,,5.65
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MUS,Internet storage space use: to save or share music,IE,Ireland,2014,,11.54
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MV,Internet storage space use: to save or share music and videos,IE,Ireland,2014,,6.33
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OFF,"Internet storage space use: to save or share texts, spreadsheets or electronic presentations",IE,Ireland,2014,,13.88
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OTH,Internet storage space use: to save or share other things,IE,Ireland,2014,,2.39
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_PHO,Internet storage space use: to save or share photos,IE,Ireland,2014,,20.5
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_VID,"Internet storage space use: to save or share videos including films, TV programmes",IE,Ireland,2014,,7.92
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",CH,Switzerland,2014,,30.76
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",CH,Switzerland,2017,,39.16
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",CH,Switzerland,2019,,46.37
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_CC,"Used internet storage space when sharing documents, pictures or other files electronically",CH,Switzerland,2014,,23.16
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_EM,"Used e-mails with attached files when sharing documents, pictures or other files electronically",CH,Switzerland,2014,,68.41
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_OTH,"Used other means not using internet when sharing documents, pictures or other files electronically",CH,Switzerland,2014,,49.04
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_PWS,"Used personal websites or social networking sites when sharing documents, pictures or other files electronically",CH,Switzerland,2014,,26.78
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_CCS,"Internet storage space use: to save or share documents, pictures, music, video or other files",CH,Switzerland,2014,,34.42
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_EBO,Internet storage space use: to save or share e-books or e-magazines,CH,Switzerland,2014,,4.14
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MUS,Internet storage space use: to save or share music,CH,Switzerland,2014,,12.89
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_MV,Internet storage space use: to save or share music and videos,CH,Switzerland,2014,,4.65
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OFF,"Internet storage space use: to save or share texts, spreadsheets or electronic presentations",CH,Switzerland,2014,,20.87
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_OTH,Internet storage space use: to save or share other things,CH,Switzerland,2014,,7.05
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_PHO,Internet storage space use: to save or share photos,CH,Switzerland,2014,,27.81
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC_VID,"Internet storage space use: to save or share videos including films, TV programmes",CH,Switzerland,2014,,6.47
